policy_type,field,metric,Generator-Only,Parser-Only,Workflow,Delta(Workflow - Parser),Delta(Workflow - Generator)
odrl:agreement,policy_type,accuracy,0.9000,0.5000,0.5000,0.00%,-40.00%
odrl:offer,policy_type,accuracy,1.0000,0.8947,0.8947,0.00%,-10.53%
odrl:set,policy_type,accuracy,0.6364,1.0000,1.0000,0.00%,36.36%
,,,,,,,
odrl:agreement,permission_actions,precision,0.6917,0.625,0.625,0.00%,-6.67%
odrl:agreement,permission_actions,recall,0.5875,0.5458,0.5458,0.00%,-4.17%
odrl:agreement,permission_actions,f1,0.6167,0.5683,0.5683,0.00%,-4.84%
odrl:agreement,permission_triplets,precision,0.1250,0.1917,0.15,-4.17%,2.50%
odrl:agreement,permission_triplets,recall,0.1167,0.1792,0.1417,-3.75%,2.50%
odrl:agreement,permission_triplets,f1,0.1200,0.1843,0.145,-3.93%,2.50%
odrl:agreement,prohibition_actions,precision,0.7750,0.825,0.825,0.00%,5.00%
odrl:agreement,prohibition_actions,recall,0.7600,0.81,0.81,0.00%,5.00%
odrl:agreement,prohibition_actions,f1,0.7643,0.8143,0.8143,0.00%,5.00%
odrl:agreement,prohibition_triplets,precision,0.7000,0.75,0.75,0.00%,5.00%
odrl:agreement,prohibition_triplets,recall,0.7000,0.75,0.75,0.00%,5.00%
odrl:agreement,prohibition_triplets,f1,0.7000,0.75,0.75,0.00%,5.00%
odrl:offer,permission_actions,precision,0.5263,0.4211,0.4211,0.00%,-10.52%
odrl:offer,permission_actions,recall,0.4254,0.3202,0.3202,0.00%,-10.52%
odrl:offer,permission_actions,f1,0.4509,0.3456,0.3456,0.00%,-10.53%
odrl:offer,permission_triplets,precision,0.4211,0.3596,0.3947,3.51%,-2.64%
odrl:offer,permission_triplets,recall,0.3202,0.3728,0.3991,2.63%,7.89%
odrl:offer,permission_triplets,f1,0.3509,0.3456,0.3807,3.51%,2.98%
odrl:offer,prohibition_actions,precision,0.8421,0.8421,0.8421,0.00%,0.00%
odrl:offer,prohibition_actions,recall,0.7895,0.7895,0.7895,0.00%,0.00%
odrl:offer,prohibition_actions,f1,0.8070,0.807,0.807,0.00%,0.00%
odrl:offer,prohibition_triplets,precision,0.8421,0.8421,0.8421,0.00%,0.00%
odrl:offer,prohibition_triplets,recall,0.8421,0.8421,0.8421,0.00%,0.00%
odrl:offer,prohibition_triplets,f1,0.8421,0.8421,0.8421,0.00%,0.00%
odrl:set,permission_actions,precision,0.4545,0.3636,0.4545,9.09%,0.00%
odrl:set,permission_actions,recall,0.4091,0.3182,0.4091,9.09%,0.00%
odrl:set,permission_actions,f1,0.4242,0.3333,0.4242,9.09%,0.00%
odrl:set,permission_triplets,precision,0.3636,0.2727,0.2727,0.00%,-9.09%
odrl:set,permission_triplets,recall,0.2727,0.2727,0.2727,0.00%,0.00%
odrl:set,permission_triplets,f1,0.3030,0.2727,0.2727,0.00%,-3.03%
odrl:set,prohibition_actions,precision,0.8182,0.7273,0.7273,0.00%,-9.09%
odrl:set,prohibition_actions,recall,0.8182,0.7273,0.7273,0.00%,-9.09%
odrl:set,prohibition_actions,f1,0.8182,0.7273,0.7273,0.00%,-9.09%
odrl:set,prohibition_triplets,precision,0.7273,0.6364,0.6364,0.00%,-9.09%
odrl:set,prohibition_triplets,recall,0.6818,0.6364,0.6364,0.00%,-4.54%
odrl:set,prohibition_triplets,f1,0.6970,0.6364,0.6364,0.00%,-6.06%
